Borough,Market Name,Street Address,Community District,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Accepts EBT,Open Year-Round,Stellar Cooking Demonstrations,Food Activities for Kids,Location Point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
Brooklyn,Teens for Food Justice Fresh Food Box & Farmstand at Brownsville Collaborative Middle School,85 Watkins Street,306,40.670986,-73.908194,Tuesday,4-6pm,Year-round,No,Yes,No,No,"(40.670986, -73.908194)",17614,55,2,37,46
Manhattan,Morningside Park's Down to Earth Farmers' Market,W 110th St & Manhattan Ave,107,40.801155,-73.959647,Saturday,9am-4pm (winter closes at 3pm),Year-Round,Yes,Yes,No,No,"(40.801155, -73.959647)",12423,20,4,23,15
Bronx,170 Farm Stand,E 170th St & Townsend Ave,204,40.839882,-73.916783,Wednesday,2:30pm-6:30pm,8/12/20-11/25/20,Yes,No,No,No,"(40.839882, -73.916783)",10930,50,5,42,27
Manhattan,Fulton Stall Market,Pier 17 Square,101,40.705799,-74.002572,Sunday,11am-5pm,04/26/2020-11/22/2020,Yes,No,No,No,"(40.705799, -74.002572)",13096,56,4,32,1
Queens,Corona Greenmarket,Roosevelt Ave & 103rd St,404,40.749811,-73.861668,Friday,8am - 3pm,6/19 to 11/27,Yes,No,No,No,"(40.749811, -73.861668)",14510,66,3,21,68
Bronx,Eastchester Farmstand,E 229th Street and Schieffelin Avenue,212,40.88503,-73.843146,Thursday,9:30am-3pm,07/16-11/19,Yes,No,No,No,"(40.88503, -73.843146)",11275,29,5,2,30
Queens,Far Rockaway Farmstand,385 Beach 45th St,431,40.595612,-73.776551,Saturday,10am-2pm,07/11/2020-11/21/2020,Yes,No,No,No,"(40.595612, -73.776551)",20529,51,3,47,59
Bronx,Harvest Home Mt. Eden Farmers' Market,Mt Eden & Morris Aves,204,40.842924,-73.909558,"Tuesday
Thursday",8am-4pm,6/9/2020-11/24/2020,Yes,No,No,No,"(40.842924, -73.909558)",10935,50,5,22,27
Brooklyn,McCarren Park Greenmarket,Union Ave bet Driggs and N 12th Sts,301,40.719219,-73.952479,Saturday,8am - 2pm,Year-Round,Yes,Yes,No,No,"(40.719219, -73.952479)",17613,36,2,38,57
Brooklyn,Edible Schoolyard NYC's Farm Stand at PS 216,E 1st St & Avenue X,315,40.590649,-73.969298,Friday,1:45pm-2:45pm,Tentative,Yes,No,No,No,"(40.590649, -73.969298)",18183,32,2,45,36
Bronx,St. Barnabas Hospital Farm Stand & C.S.A.,4422 3rd Ave.,206,40.853237,-73.891742,Wednesday,10 a.m. - 5 p.m.,09/01/2020-11/20/2020,Yes,No,No,No,"(40.853237, -73.891742)",10935,35,5,22,31
Brooklyn,Carroll Gardens Greenmarket,Carroll St bet Smith & Court Sts,306,40.68106,-73.996528,Sunday,8am - 2pm,Year-Round,Yes,Yes,No,No,"(40.68106, -73.996528)",13514,14,2,27,48
Bronx,Teens for Food Justice Fresh Food Box & Farmstand at Dewitt Clinton Educational Campus,100 West Mosholu Parkway South,207,40.882178,-73.88691,Thursday,4-6pm,Year-round,Yes,Yes,No,No,"(40.882178, -73.88691)",11606,24,5,40,34
Brooklyn,Isabahlia Farm Stand,514 Rockaway Ave,316,40.667554,-73.910207,Friday & Saturday,"(F) 9am - 4pm
(S) 9am-3pm",06/29/2020-10/31/2020,Yes,No,No,No,"(40.667554, -73.910207)",17614,55,2,17,46
Bronx,La Familia Verde Farmers' Market,E Tremont Ave bet LaFontaine & Arthur Aves,206,40.846487,-73.894337,Tuesday,8am-2pm,07/07/2020-11/17/2020,Yes,No,No,No,"(40.846487, -73.894337)",10935,35,5,22,31
Manhattan,Tompkins Square Greenmarket,E. 7th St. & Avenue A,103,40.726054,-73.983534,Sunday,9am - 5pm,Year-Round,Yes,Yes,No,No,"(40.726054, -73.983534)",11729,70,4,50,5
Queens,Jackson Heights Greenmarket,34th Ave bet 79th & 80th Sts,403,40.753435,-73.887822,Sunday,8am - 2pm,Year-Round,Yes,Yes,No,No,"(40.753435, -73.887822)",14783,65,3,5,73
Bronx,Norwood Farmstand,E Gun Hill Rd & Dekalb Ave,207,40.88222,-73.880458,Thursday,10am-5pm,Year-Round,Yes,Yes,No,No,"(40.88222, -73.880458)",11605,24,5,40,34
Brooklyn,Grand Army Plaza Greenmarket,"Flatbush Ave. & Prospect Park W., at Prospect Park’s NW Entrance",355,40.663812,-73.962866,Saturday,8am-4pm,Year-Round,Yes,Yes,No,No,"(40.663812, -73.962866)",13829,13,2,27,50
Manhattan,Hamilton Heights Green Youthmarket,"Amsterdam bet W 143rd & 144th Sts., at Johnny Hartman Plaza",109,40.82394,-73.948552,Wednesday,11am-6pm,06/24/2020-11/25/2020,Yes,No,No,No,"(40.82394, -73.948552)",12428,37,4,23,19
Brooklyn,McGolrick Park's Down to Earth Farmers's Market,Russell St. & Nassau Ave. (center of park),301,40.725617,-73.944497,Sunday,10am - 3pm,3/01/2020-12/20/20,Yes,No,No,No,"(40.725617, -73.944497)",18182,36,2,38,57
Manhattan,175th Street Greenmarket,W 175th St bet Wadsworth Ave & Broadway,112,40.845948,-73.937811,Thursday,8am - 4pm,6/25 to 11/19,Yes,No,No,No,"(40.845948, -73.937811)",13091,47,4,39,21
Brooklyn,6th Ave Sunset Park Greenmarket,44th St & 6th Ave,307,40.647132,-74.004623,Saturday,8am-3pm,Year-round,Yes,Yes,No,No,"(40.647132, -74.004623)",18180,9,2,7,45
Manhattan,Rockefeller Center Greenmarket,Rockefeller Plaza bet W 49th & 50th Sts (Jul-Aug only),105,40.759065,-73.97845,"Wednesday 
Thursday
Friday",8am - 5pm,7/15 to 8/21; 9/30 to 10/23,Yes,No,No,No,"(40.759065, -73.97845)",12082,11,4,51,10
Queens,Flushing Greenmarket,"Kissena Blvd. & Maple Ave., at Maple Playground",407,40.756357,-73.825773,Wednesday,8am - 3pm,7/8 to 11/25,Yes,No,No,No,"(40.756357, -73.825773)",14190,22,3,3,67
Manhattan,Columbia University Greenmarket,Broadway & W 114th St,109,40.806707,-73.964849,"Thursday
Sunday",8am-4pm,Year-Round (Closed 07/04/19 & 11/28/19- open 11/26/19),Yes,Yes,No,No,"(40.806707, -73.964849)",12422,37,4,23,17
Brooklyn,RB Bushwick Farmers' Market at Maria Hernandez Park,Knickerbocker Ave & Starr St,304,40.702811,-73.92539,Saturday,9am-4pm,6/20/2020 - November unclear date,Yes,No,No,No,"(40.702811, -73.92539)",13828,42,2,30,53
Queens,Socrates Sculpture Garden,31-30 Vernon Boulevard,401,40.768504,-73.921724,Saturday,10am-2pm,05/02/2020-10/31/2020,Yes,No,No,No,"(40.768504, -73.921724)",16859,39,3,4,72
Manhattan,Go!Healthy Farm Stand at Mirabal Sisters Campus,21 Jumel Pl.,112,40.839305,-73.936159,Friday,11am-2pm,07/07/2020-11/20/20,Yes,No,No,No,"(40.839305, -73.936159)",13090,47,4,39,21
Queens,Sunnyside Greenmarket,Skillman Ave bet 42nd & 43rd Sts,402,40.746999,-73.921724,Saturday,8am - 2pm,Year-Round,Yes,Yes,No,No,"(40.746999, -73.921724)",16861,53,3,33,66
Queens,Cunningham Park's Down to Earth Farmers' Market,Union Tpk & 196 Pl,408,40.731082,-73.773997,Sunday,9am-2pm,05/10/2020-11/22/2020,Yes,No,No,No,"(40.731082, -73.773997)",14508,25,3,16,65
Bronx,Bissel Gardens Farmers Market,Baychester Ave & E 241st St,212,40.90152,-73.846937,Saturday,10am-5pm,8/1/20-11/21/20,Yes,No,No,No,"(40.90152, -73.846937)",11275,29,5,40,30
Manhattan,79th Street Greenmarket,Columbus Ave bet W 78th & 81st Sts,107,40.781274,-73.975995,Sunday,9am - 5pm,Year-Round,Yes,Yes,No,No,"(40.781274, -73.975995)",12421,20,4,19,12
Bronx,Fordham Plaza Greenmarket,Park Ave bet E 189th St & E Fordham Rd,206,40.86153,-73.891063,Friday,8am-4pm,7/10 to 11/20,Yes,No,No,No,"(40.86153, -73.891063)",10936,24,5,22,31
Brooklyn,Red Hook Farm Stand,560 Columbia St,306,40.672524,-74.00871,Saturday,10am-3pm,06/20/2020-11/21/2020,Yes,No,No,No,"(40.672524, -74.00871)",13514,14,2,7,48
Queens,Ditmars Park Farmstand,"Steinway St bet Ditmars Blvd & 23rd Ave., at Ditmars Park",401,40.772854,-73.906061,Saturday,9:30am-2pm,07/11/20-11/21/20 (estimate),Yes,No,No,No,"(40.772854, -73.906061)",16862,39,3,4,72
Manhattan,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave,106,40.752999,-73.969887,Wednesday,8am-4pm,Year-Round (Closed 09/26/19 & 11/25/19),Yes,Yes,No,No,"(40.752999, -73.969887)",12079,71,4,51,9
Manhattan,Mount Sinai Hospital Greenmarket,E 99th St bet Madison & Park Aves,111,40.789169,-73.952743,Wednesday,8am-5pm,6/10 to 11/25,Yes,No,No,No,"(40.789169, -73.952743)",12426,7,4,35,14
Brooklyn,4th Ave Sunset Park Greenmarket,4th Ave bet 59th & 60th Sts,307,40.641435,-74.017815,Saturday,8am - 3pm,7/11 to 11/21,Yes,No,No,No,"(40.641435, -74.017815)",18180,9,2,7,45
Brooklyn,Cortelyou Greenmarket,Cortelyou & Rugby Rds,314,40.640825,-73.965301,Sunday,8am - 3pm,Year-Round,Yes,Yes,No,No,"(40.640825, -73.965301)",13510,60,2,11,43
Brooklyn,Urban Oasis Farmers' Market,681 Clarkson Ave.,309,40.656255,-73.936608,Wednesday,2pm-5:30pm,06/24/2020-11/04/2020,Yes,No,No,No,"(40.656255, -73.936608)",16866,17,2,17,44
Bronx,Parkchester Greenmarket,Westchester Ave & White Plains Rd,209,40.833992,-73.862148,Friday,8am - 4pm,6/12 to 11/27,Yes,No,No,No,"(40.833992, -73.862148)",11271,58,5,31,26
Queens,The Laurelton Farmers Market,"241st and 144st Road, Laurelton NY",413,40.668918,-73.751335,Saturday-Sunday,10am-2pm,8/15/2020-10/31/20,Yes,No,No,No,"(40.668918, -73.751335)",15313,63,3,47,63
Brooklyn,Borough Park Greenmarket,14th Ave bet 49th & 50th Sts,312,40.633696,-73.989916,Thursday,8am - 3pm,7/2 to 10/08,Yes,No,No,No,"(40.633696, -73.989916)",17621,2,2,18,39
Manhattan,Greenmarket at Oculus Plaza,"Church & Fulton Sts., on Oculus Plaza",101,40.711535,-74.010464,Tuesday,7am-7pm,Year-Round (Temporarily Closed due to COVID),Yes,Yes,No,No,"(40.711535, -74.010464)",11728,56,4,32,1
Brooklyn,Seeds in the Middle Fresh Food Box / Farmstand - Brownsville,213 Osborn Street,316,40.667377,-73.908214,Friday,2pm-4:30pm,6/12/20-9/30/20,Yes,No,No,No,"(40.667377, -73.908214)",17614,55,2,17,46
Manhattan,Harvest Home Metropolitan Farmers' Market,E 99th St & 3rd Ave,111,40.78712,-73.947923,Friday,8am-4pm,6/17/2020-11/20/2020,Yes,No,No,No,"(40.78712, -73.947923)",12426,7,4,35,14
Bronx,Harvest Home Jacobi Hospital Farmers' Market,"1400 Pelham Pkwy S, at Eastchester Rd",211,40.857427,-73.847079,Friday,8am-4pm,7/10/2020-11/19/2020,Yes,No,No,No,"(40.857427, -73.847079)",11270,59,5,12,32
Brooklyn,Isabahlia Farm Stand Winter Market,"93 New Lots Ave., inside greenhouse",316,40.657984,-73.901764,Saturday,8am-1pm,11/07/2020-12/19/2020,Yes,No,No,No,"(40.657984, -73.901764)",17614,55,2,25,46
Manhattan,Stuyvesant Town Greenmarket,"E. 14th. St. Loop & Avenue A, in the Oval",103,40.730443,-73.980339,Sunday,9:30am - 4pm,5/17 to 12/20,Yes,No,No,No,"(40.730443, -73.980339)",11729,71,4,51,7
Queens,Guy R Brewer Boulevard Farmers Market at NYC Health + Hospitals/Queens,114-02 Guy R Brewer Blvd,412,40.688615,-73.785593,Tuesday,8am-4pm,TBD,No,No,No,No,"(40.688615, -73.785593)",24669,41,3,46,71
Manhattan,97th Street Greenmarket,W 97th St bet Columbus & Amsterdam Aves,107,40.793558,-73.967016,Friday,8am - 2pm,Year-Round,Yes,Yes,No,No,"(40.793558, -73.967016)",12422,20,4,23,15
Manhattan,Harvest Home Lenox Ave Farm Stand,Lenox Ave bet W 117th & 118th Sts,110,40.802699,-73.949186,Saturday,8am-4pm,6/27/2020-11/21/2020,Yes,No,No,No,"(40.802699, -73.949186)",12423,18,4,36,18
Bronx,Kingsbridge-Riverdale Farmers' Market,260 W 231st St,208,40.880038,-73.907005,Sunday,9am-5pm,July,Yes,No,No,No,"(40.880038, -73.907005)",11272,48,5,40,33
Queens,Queens County Farm Museum Farm Stand at Jamaica Hospital,134-20 Jamaica Ave.,409,40.702445,-73.816861,Friday,10am-3pm,7/15/2020-11/23/2020,Yes,No,No,No,"(40.702445, -73.816861)",24014,46,3,28,60
Brooklyn,East New York Farmers' Market,Schenck Ave bet New Lots & Livonia Aves,305,40.665296,-73.886557,Saturday,9am-3pm,06/27/2020-11/14/2020,Yes,No,No,No,"(40.665296, -73.886557)",17214,45,2,25,47
Staten Island,Goodhue Center Go!Healthy Farm Stand,301 Prospect Ave,501,40.638983,-74.097422,Tuesday,11am-2pm,07/06/2020-11/20/2020,Yes,No,No,No,"(40.638983, -74.097422)",10369,4,1,13,74
Manhattan,57th Street Greenmarket,W 57th St & 10th Ave,104,40.769117,-73.988559,"Wednesday
Saturday",8am-5pm,6/6 to 11/25,Yes,No,No,No,"(40.769117, -73.988559)",12081,12,4,19,10
Queens,Queens County Farm Museum Farm Stand,73-50 Little Neck Pkwy,413,40.748163,-73.719431,"Wednesday, Thursday, Friday; Saturday and Sunday",11am-3pm (weekends); 11am-5pm,7/8/2020– 11/1/2020),Yes,No,No,No,"(40.748163, -73.719431)",24335,63,3,16,63
Manhattan,PS 57 Farmstand,E 115th St & 3rd Ave,111,40.797261,-73.940519,Wednesday,9am-4pm,07/01/20-11/18/20 estimate,Yes,No,No,No,"(40.797261, -73.940519)",12426,7,4,35,14
Bronx,Bronx Borough Hall Greenmarket,Grand Concourse bet E 161st & 162nd Sts,204,40.826835,-73.922621,Tuesday,8am-4pm,6/2 to 11/24,Yes,No,No,No,"(40.826835, -73.922621)",10929,50,5,42,27
Brooklyn,Bensonhurst Greenmarket,81st St & 18th Ave,311,40.609951,-73.999456,Sunday,9am - 4pm,5/31 to 11/29,Yes,No,No,No,"(40.609951, -73.999456)",17616,1,2,44,37
Brooklyn,Brooklyn Borough Hall Greenmarket,Court & Montague Sts,302,40.693722,-73.990455,"Tuesday 
Thursday
Saturday",8am - 5pm,Year-Round (Thursday temporarily closed for COVID),Yes,Yes,No,No,"(40.693722, -73.990455)",16865,68,2,38,54
Brooklyn,Graham Avenue Farmers' Market,Cook St & Graham Ave,301,40.702345,-73.942381,Saturday,9am-5pm,8/8/2020-10/31/2020,Yes,No,No,No,"(40.702345, -73.942381)",17213,36,2,30,56
Brooklyn,Saratoga Farm Stand,1965-1971 Fulton St,316,40.678562,-0.000079703981596,Saturday,9am-2pm,07/11/2020-11/21/2020,Yes,No,No,No,"(40.678562, -0.000079703981596)",,,,,
Bronx,Morning Glory Market at the New York Botanical Gardens,2900 Southern Blvd.,227,40.865684,-73.883312,Wednesday,10am-3pm,July 2020-10/28/2020,Yes,No,No,No,"(40.865684, -73.883312)",10936,35,5,22,31
Bronx,Poe Park Greenmarket,E 192 St & Grand Concourse,207,40.864216,-73.895795,Tuesday,8am - 3pm,6/30 to 11/24,Yes,No,No,No,"(40.864216, -73.895795)",11606,24,5,29,34
Brooklyn,Fort Greene Park Greenmarket,Washington Park bet Dekalb Ave & Willoughby St,302,40.691707,-73.973539,Saturday,8am - 3pm,Year-Round,Yes,Yes,No,No,"(40.691707, -73.973539)",17212,68,2,48,55
